2014-07-07 13:19:46,996 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:19:47,663 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:19:47,693 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:19:47,699 | INFO  | Recovery replayed 36 operations from the journal in 0.019 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:19:47,867 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-53412-1404735587731-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:19:47,894 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:19:47,899 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:19:47,907 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:19:47,914 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:19:47,923 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:19:47,931 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:19:47,940 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:19:47,947 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:19:48,102 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-07 13:19:48,103 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:19:48,108 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-53412-1404735587731-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:19:48,110 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:19:48,617 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-07 13:19:48,689 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-07 13:19:49,025 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-07 13:20:38,303 | WARN  | Transport Connection to: tcp://127.0.0.1:53411 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53411@61616
2014-07-07 13:36:24,122 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3589193f: startup date [Mon Jul 07 13:36:24 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-07 13:36:25,426 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-07-07 13:36:25,467 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:36:26,108 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:36:26,139 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:36:26,148 | INFO  | Recovery replayed 87 operations from the journal in 0.022 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:36:26,316 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-56652-1404736586180-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:36:26,343 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:36:26,348 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:36:26,357 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:36:26,363 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:36:26,371 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:36:26,380 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:36:26,388 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:36:26,393 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:36:26,544 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-07 13:36:26,545 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:36:26,549 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-56652-1404736586180-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:36:26,552 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:36:27,002 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-07 13:36:27,072 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-07 13:36:27,354 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-07 13:37:26,938 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3589193f: startup date [Mon Jul 07 13:37:26 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-07 13:37:28,269 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-07-07 13:37:28,312 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:37:28,990 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:37:29,021 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:37:29,025 | INFO  | Recovery replayed 5 operations from the journal in 0.018 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
